DATE,PRICE,Aufwendung
01/29/2000,"E6,544",Garantien
03/05/2000,"E8,335",Garantien
03/25/2000,"E5,968",Garantien
05/10/2000,"E7,128",Garantien
06/10/2000,"E1,735",Garantien
09/30/2000,"E2,856",Garantien
10/24/2000,"E2,905",Garantien
11/04/2000,"E3,995",Garantien
11/09/2000,"E4,730",Garantien
12/03/2000,"E2,093",Garantien
01/30/2001,"E1,146",Garantien
07/12/2001,"E7,693",Garantien
07/26/2001,"E6,214",Garantien
08/14/2001,E732,Garantien
08/21/2001,"E7,835",Garantien
09/17/2001,"E9,026",Garantien
12/05/2001,"E7,461",Garantien
12/09/2001,"E2,969",Garantien
12/28/2001,"E6,137",Garantien
01/15/2002,"E9,031",Garantien
01/27/2002,"E3,515",Garantien
02/19/2002,"E5,678",Garantien
03/13/2002,"E4,329",Garantien
05/28/2002,"E4,579",Garantien
05/28/2002,E681,Garantien
05/31/2002,"E1,353",Garantien
06/13/2002,"E1,446",Garantien
06/16/2002,"E2,351",Garantien
08/25/2002,"E4,658",Garantien
10/28/2002,"E3,893",Garantien
11/02/2002,"E7,192",Garantien
11/07/2002,"E6,483",Garantien
02/18/2003,"E9,351",Garantien
06/03/2003,"E8,403",Garantien
11/14/2003,"E5,982",Garantien
01/24/2004,"E2,263",Garantien
04/10/2004,"E3,671",Garantien
04/11/2004,"E6,578",Garantien
06/09/2004,"E5,709",Garantien
08/22/2004,"E3,586",Garantien
09/28/2004,"E3,855",Garantien
10/01/2004,"E2,826",Garantien
10/06/2004,"E2,653",Garantien
10/30/2004,"E1,143",Garantien
11/22/2004,"E9,713",Garantien
11/28/2004,"E9,101",Garantien
12/19/2004,"E1,468",Garantien
01/28/2005,"E2,720",Garantien
02/19/2005,"E4,092",Garantien
03/15/2005,"E2,081",Garantien
04/24/2005,"E6,734",Garantien
04/29/2005,"E5,433",Garantien
05/18/2005,E155,Garantien
06/12/2005,"E3,803",Garantien
07/26/2005,"E1,893",Garantien
07/27/2005,"E8,614",Garantien
07/28/2005,"E5,768",Garantien
08/08/2005,"E2,040",Garantien
08/17/2005,"E7,544",Garantien
12/20/2005,"E6,954",Garantien
12/28/2005,"E8,308",Garantien
01/10/2006,"E8,667",Garantien
01/13/2006,"E2,038",Garantien
01/31/2006,"E5,636",Garantien
03/18/2006,"E1,087",Garantien
03/27/2006,"E1,714",Garantien
07/08/2006,"E3,301",Garantien
08/11/2006,"E5,729",Garantien
11/22/2006,"E1,284",Garantien
12/27/2006,"E9,761",Garantien
01/07/2007,"E9,558",Garantien
01/14/2007,"E4,460",Garantien
02/03/2007,"E1,759",Garantien
05/09/2007,"E4,907",Garantien
