Total,Kontinent
"E636,920",Afrika
"E80,221",Afrika
"E186,230",Afrika
"E69,520",Afrika
"E169,844",Afrika
"E204,001",Afrika
"E389,155",Afrika
"E60,558",Afrika
"E385,710",Afrika
"E61,430",Afrika
"E450,656",Afrika
"E143,196",Afrika
"E362,196",Afrika
"E390,246",Afrika
"E49,556",Afrika
"E280,854",Afrika
"E95,944",Afrika
"E657,377",Afrika
"E104,610",Afrika
"E31,187",Afrika
"E73,276",Afrika
"E455,934",Afrika
"E753,507",Afrika
"E111,312",Afrika
"E62,075",Afrika
"E95,944",Afrika
"E63,963",Afrika
"E67,602",Afrika
"E810,050",Afrika
"E652,015",Afrika
"E674,850",Afrika
"E371,910",Afrika
"E192,304",Afrika
"E91,720",Afrika
"E12,112",Afrika
"E42,051",Afrika
"E749,352",Afrika
"E655,542",Afrika
"E222,054",Afrika
"E33,763",Afrika
"E309,455",Afrika
"E629,531",Afrika
"E176,934",Afrika
"E72,784",Afrika
"E47,663",Afrika
"E145,398",Afrika
"E425,410",Afrika
"E60,306",Afrika
"E123,105",Afrika
"E732,390",Afrika
"E626,584",Afrika
"E139,890",Afrika
"E341,260",Afrika
"E298,908",Afrika
"E152,424",Afrika
"E103,562",Afrika
"E340,281",Afrika
"E239,820",Afrika
"E421,925",Afrika
"E113,724",Afrika
"E134,632",Afrika
"E230,877",Afrika
"E153,462",Afrika
"E253,372",Afrika
"E58,446",Afrika
"E293,920",Afrika
"E99,304",Afrika
"E233,280",Afrika
"E54,237",Afrika
"E135,432",Afrika
"E13,358",Afrika
"E84,528",Afrika
"E333,252",Afrika
"E420,543",Afrika
"E124,488",Afrika
"E781,280",Afrika
"E296,396",Afrika
"E115,695",Afrika
"E61,614",Afrika
"E103,116",Afrika
"E162,447",Afrika
"E924,680",Afrika
"E165,330",Afrika
"E456,687",Afrika
"E462,160",Afrika
"E227,572",Afrika
"E534,891",Afrika
"E221,384",Afrika
"E132,186",Afrika
"E428,364",Afrika
"E550,980",Afrika
"E142,900",Afrika
"E189,396",Afrika
"E56,208",Afrika
"E187,572",Afrika
"E237,068",Afrika
"E497,690",Afrika
"E107,316",Afrika
"E161,133",Afrika
"E872,901",Afrika
"E132,192",Afrika
"E456,870",Afrika
"E145,856",Afrika
"E505,267",Afrika
"E194,675",Afrika
"E53,835",Afrika
"E414,834",Afrika
"E21,581",Afrika
"E338,994",Afrika
"E715,662",Afrika
"E499,338",Afrika
"E714,680",Afrika
"E74,939",Afrika
"E178,102",Afrika
"E374,928",Afrika
"E202,404",Afrika
"E379,004",Afrika
"E619,255",Afrika
"E470,728",Afrika
"E442,145",Afrika
"E119,960",Afrika
"E38,770",Afrika
"E72,652",Afrika
"E448,040",Afrika
"E181,224",Afrika
"E230,839",Afrika
"E88,118",Afrika
"E239,334",Afrika
"E102,591",Afrika
"E586,140",Afrika
"E227,940",Afrika
"E215,873",Afrika
"E224,196",Afrika
"E381,150",Afrika
"E336,328",Afrika
"E121,448",Afrika
"E681,850",Afrika
"E696,904",Afrika
"E72,604",Afrika
"E262,548",Afrika
"E280,322",Afrika
"E220,850",Afrika
"E74,019",Afrika
"E72,630",Afrika
"E617,157",Afrika
"E198,464",Afrika
"E89,712",Afrika
"E124,864",Afrika
"E50,986",Afrika
"E196,766",Afrika
"E776,889",Afrika
"E648,753",Afrika
"E171,216",Afrika
"E206,397",Afrika
"E396,372",Afrika
"E385,224",Afrika
"E241,353",Afrika
"E457,191",Afrika
"E432,792",Afrika
"E142,032",Afrika
"E126,520",Afrika
"E124,580",Afrika
"E34,479",Afrika
"E263,196",Afrika
"E435,018",Afrika
"E1,329,036",Asien
"E1,219,746",Asien
"E467,313",Asien
"E1,882,884",Asien
"E1,782,053",Asien
"E202,721",Asien
"E389,866",Asien
"E1,152,474",Asien
"E1,877,508",Asien
"E205,922",Asien
"E784,796",Asien
"E1,028,030",Asien
"E1,490,055",Asien
"E400,731",Asien
"E1,370,658",Asien
"E2,630,124",Asien
"E3,136,553",Asien
"E2,138,178",Asien
"E1,006,782",Asien
"E1,115,433",Asien
"E2,640,066",Asien
"E779,436",Asien
"E1,761,599",Asien
"E1,629,916",Asien
"E268,204",Asien
"E220,136",Asien
"E1,472,172",Asien
"E2,141,076",Asien
"E1,731,390",Asien
"E3,029,960",Asien
"E1,513,890",Asien
"E1,198,320",Asien
"E1,647,696",Asien
"E158,409",Asien
"E3,680,874",Asien
"E1,312,680",Asien
"E2,970,942",Asien
"E1,907,432",Asien
"E703,455",Asien
"E1,154,847",Asien
"E876,169",Asien
"E1,647,852",Asien
"E992,184",Asien
"E2,743,308",Asien
"E289,110",Asien
"E373,632",Asien
"E1,474,428",Asien
"E1,858,000",Asien
"E1,485,861",Asien
"E2,507,918",Asien
"E1,598,020",Asien
"E1,410,731",Asien
"E1,055,350",Asien
"E4,979,260",Asien
"E1,780,040",Asien
"E231,721",Asien
"E323,006",Asien
"E1,310,508",Asien
"E1,787,022",Asien
"E764,840",Asien
"E2,363,304",Asien
"E2,999,592",Asien
"E918,274",Asien
"E3,508,299",Asien
"E1,392,390",Asien
"E880,917",Asien
"E408,069",Asien
"E1,488,140",Asien
"E2,192,780",Asien
"E369,075",Asien
"E290,182",Asien
"E867,198",Asien
"E1,208,620",Asien
"E1,515,429",Asien
"E1,358,480",Asien
"E1,518,678",Asien
"E1,658,328",Asien
"E3,053,816",Asien
"E3,409,191",Asien
"E1,603,536",Asien
"E1,216,270",Asien
"E1,418,768",Asien
"E3,164,350",Asien
"E294,686",Asien
"E375,020",Asien
"E1,153,720",Asien
"E680,950",Asien
"E871,493",Asien
"E346,340",Asien
"E1,599,930",Asien
"E1,390,131",Asien
"E840,558",Asien
"E948,000",Asien
"E647,703",Asien
"E714,084",Asien
"E1,929,480",Asien
"E1,482,564",Asien
"E1,788,696",Asien
"E2,320,415",Asien
"E2,359,105",Asien
"E3,081,360",Asien
"E1,458,222",Asien
"E1,719,156",Asien
"E3,289,170",Asien
"E2,309,010",Asien
"E1,237,680",Asien
"E3,960,234",Asien
"E413,630",Asien
"E328,609",Asien
